# Swift-BAT daily average light curve for GX 3+1                        
# Generated Sun Jul 15 08:50:44 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53747       0.00271569     0.00245236   2006          12     0.00199229     0.00009505      0    1960.00000000  1225.56250000  1960.00000000
      53752       0.00080025     0.00265390   2006          17     0.00215752     0.00002801      0    1752.00000000  1152.43750000  1752.00000000
      53755       0.00036840     0.00350558   2006          20     0.00285005     0.00001289      0     896.00000000   742.00000000     0.00000000
      53756       0.00369603     0.00192377   2006          21     0.00156050     0.00012936      0    4904.00000000  2747.93750000  4904.00000000
      53757       0.00448442     0.00264476   2006          22     0.00214642     0.00015695      0    1624.00000000  1446.37500000  1624.00000000
      53758       0.00387730     0.00222228   2006          23     0.00180336     0.00013571      0    1568.00000000  1433.25000000  1568.00000000
      53759       0.00392370     0.00129787   2006          24     0.00104925     0.00013733      0    7832.00000000  4355.25000000  7832.00000000
      53760      -0.00028771     0.00147321   2006          25     0.00119770    -0.00001007      0    6760.00000000  4004.15625000  6760.00000000
      53761       0.00413724     0.00106644   2006          26     0.00085899     0.00014480      0    9584.00000000  6575.87500000  9584.00000000
      53762       0.00171063     0.00192487   2006          27     0.00156418     0.00005987      0    2184.00000000  1889.81250000  2184.00000000
      53763       0.00390350     0.00135999   2006          28     0.00110009     0.00013662      0    6352.00000000  4048.95312500  6352.00000000
      53764       0.00305280     0.00138886   2006          29     0.00112581     0.00010685      0    4592.00000000  4061.68750000  4592.00000000
      53765       0.00298644     0.00137815   2006          30     0.00111722     0.00010453      0   10648.00000000  4670.20703268  1792.00000000
      53766       0.00274481     0.00117690   2006          31     0.00095364     0.00009607      0    8936.00000000  5523.40625000  8936.00000000
      53767       0.00457366     0.00103474   2006          32     0.00083112     0.00016008      0    9184.00000000  6283.75000000  9184.00000000
      53768       0.00213344     0.00090451   2006          33     0.00073286     0.00007467      0   10464.00000000  9161.93750000 10464.00000000
      53769       0.00474710     0.00102544   2006          34     0.00082267     0.00016615      0    8304.00000000  7739.12500000  8304.00000000
      53770       0.00360950     0.00122191   2006          35     0.00098810     0.00012633      0    9568.00000000  5455.64062500  8928.00000000
      53771       0.00370881     0.00109246   2006          36     0.00088188     0.00012981      0   12968.00000000  7224.71875000 12968.00000000
      53772       0.00499747     0.00153576   2006          37     0.00124046     0.00017491      0    5344.00000000  3165.68750000  5344.00000000
      53773       0.00352677     0.00139036   2006          38     0.00112591     0.00012344      0    9448.00000000  4776.93750000  9448.00000000
      53774       0.00634245     0.00233270   2006          39     0.00188790     0.00022199      0    4560.00000000  1791.92187500  4560.00000000
      53775       0.00320242     0.00170044   2006          40     0.00137947     0.00011208      0    3200.00000000  2661.87500000  2104.00000000
      53776       0.00622886     0.00117052   2006          41     0.00093499     0.00021801      0    5840.00000000  5853.87500000  5840.00000000
      53777       0.00654364     0.00107374   2006          42     0.00085287     0.00022903      0    7592.00000000  7382.37500000  7592.00000000
      53778       0.00339164     0.00104416   2006          43     0.00084341     0.00011871      0    8008.00000000  7259.00000000  8008.00000000
      53779       0.00140180     0.00139324   2006          44     0.00113201     0.00004906      0    7216.00000000  4202.00000000  7216.00000000
      53780       0.00488902     0.00121106   2006          45     0.00097472     0.00017112      0   10256.00000000  6024.34375000 10256.00000000
      53781       0.00400409     0.00113313   2006          46     0.00091417     0.00014014      0   10520.00000000  6729.25000000 10520.00000000
      53784       0.00102852     0.00216242   2006          49     0.00175783     0.00003600      0    1344.00000000  1336.00000000  1344.00000000
      53785       0.01022317     0.00370181   2006          50     0.00299551     0.00035781      0    1632.00000000   628.25000000  1632.00000000
      53786       0.00259066     0.00294829   2006          51     0.00239585     0.00009067      0    2056.00000000   733.03125000  2056.00000000
      53787       0.00778305     0.00240590   2006          52     0.00194344     0.00027241      0    1536.00000000  1294.50000000  1536.00000000
      53788       0.01544328     0.00434242   2006          53     0.00350296     0.00054051      0    2920.00000000   639.18750000  2536.00000000
      53789       0.00431456     0.00294101   2006          54     0.00238791     0.00015101      0    1048.00000000   855.81250000  1048.00000000
      53794       0.00366474     0.00721920   2006          59     0.00586834     0.00012827      0     584.00000000   212.15625000   584.00000000
      53795       0.00259783     0.00104199   2006          60     0.00084391     0.00009092      0    8256.00000000  6879.56250000  6568.00000000
      53796       0.00445709     0.00141673   2006          61     0.00114481     0.00015600      0   12976.00000000  5551.15625000 11440.00000000
